student_id,Average_time_engaged,num_reviewed,num_retry,Sum engaged
988aaef5-55d8-4efd-a2aa-8a17e687965e,182875.18,59,0,32734658
bb3d0834-83be-4158-8d8e-6230178074a8,150016.54,20,0,18602051
c985759c-1ed2-4964-8c29-e17a0844e44a,424955.62,87,16,94340148
0556b794-cd80-4af6-8cfa-8055462c215a,475811.4,128,239,165582368
062f021e-8297-41e6-a8fe-54a382ab7404,328154.09,130,69,105993772
0d8dff90-f271-49ee-8e0e-cf7e83c7de61,243033.52,385,448,189080079
0f109cdd-f04e-4799-9a83-39ccebf8b171,355166.81,247,0,175097238
0f122889-830d-40c1-a6f8-f432cb327190,431133.71,162,51,190129966
32683ad9-2845-4977-9912-2c59bf0f6aa6,287357.84,110,0,107471832
3cc14c3e-8586-4017-80c1-152954ebbe2a,442348.49,92,4,133146894
41422302-20a7-417e-88ea-3b29631a418d,257181.3,503,840,180541275
4877fc0b-61be-404d-b1cf-bfa0e547feca,520552.53,372,406,356057928
4ca965ca-1794-4f5f-a14a-4a0ba41137d3,245036.54,161,0,80126949
53af77c6-6730-4c74-beb0-f717439e6e5a,370708.33,38,0,70063875
5f61c579-eaf0-4acd-ab54-b4143887a30e,518359.72,163,383,192829815
667f325c-12ee-4b85-807c-fe69fa3d92bb,433501.4,67,4,129183416
78ccab12-8733-4772-a2e0-17c7e68a69d6,245333.33,41,14,57653332
7a2cff82-cc76-44d0-bba7-0c8952982990,437489.59,139,130,135621773
7d467286-5c8a-40db-ace7-9f15e7f97d4d,224712.23,182,111,80446980
7d7a5092-b244-44a2-a776-3bb2c8d5a80f,408506.42,121,0,133990106
82a3e3eb-3f80-48b6-a55c-986cc1d0a709,214309.17,132,36,62578278
85d5058c-53e9-49b1-8475-d3df2336b0ff,248475,67,0,63609600
a3ac1e2d-7dc6-4ff1-a8df-bb6ff0f52e67,488273.44,35,8,120115266
c7bb202e-6a69-4a84-9814-e55e6bd6d54b,330412.39,68,42,82272686
e0341b71-28a9-448e-b0a7-0e8efbbdad65,260322.34,101,0,78617346
f1733a31-055f-4c38-92c1-3f294ba94c35,309905.87,179,4,136048675
f52bcfe1-c230-4093-ae99-c46781171178,297436.71,461,339,265908420
5098bdf5-4c55-4c17-be39-21bd88ad1a2b,315698.27,34,0,68506525
5e037301-b06b-4b91-896b-fa411d055f7e,260764.13,35,0,53717410
7586f20a-8b0e-4467-8280-f68cbd64d1b0,311250.7,37,0,86527694
11eabd81-c391-4201-9c16-166286778096,347084.61,114,12,95795353
33106cf9-22dc-45d0-847d-8465c6303a57,388883.51,88,0,98776411
45a6b32e-d1d3-415b-8c8b-1fa5edb165f0,241417.89,109,92,74356710
5809f204-48e7-4dff-bc92-d22986d01459,382350.11,107,0,101322778
91f060a9-d6cc-48e2-8ad9-362ab1b25fe2,229256.65,47,0,51353490
a25014c3-2a12-45ea-965e-4f52fb568c49,992959.23,10,0,191641131
ba499004-ccbf-42ce-92e9-3c8c38f088d8,272580.13,87,0,82046618
c0cb2f98-4801-4f44-ae5a-437023b36c9b,163580.19,78,0,47274674
cc79d3fc-ccc0-48a2-8621-76b70b37ca0f,244402.62,125,75,79430851
d76083a0-6c0d-446c-82e3-723a6d27c098,304358.07,142,60,99525089
f1df3150-ad4c-480e-b3ef-e3494116401d,736041.18,255,506,326066244
046c4be5-49ef-4fe6-baa4-4062d249253a,839154.9,2,0,8391549
9dd7096f-7041-4a6d-89d8-622012859d20,402898.45,94,0,154713006
a52c1e17-97fa-4339-a21e-721945894c90,158067.57,50,33,48052541
af94a4c0-39b3-45ab-89cf-c7f246155b3a,325852.5,62,0,82766535
20b07e14-d5b9-4dbb-99db-e0b784b045f6,189930.36,39,0,28489554
c48337fd-a13a-4aef-91ea-de58fca66379,566830.58,1,12,10769781
36ada86d-1a6d-4f4a-8d11-3b0ccebf4c11,162467,0,0,162467
4bba8ed7-c2ef-4c14-bf3e-002ecb658f38,353780.53,52,0,101181233
60aab6bd-97db-4d4d-8f7a-a4cc89d2cd1d,277097.07,55,0,70105559
ab0256e9-ad95-4928-b360-fd1df4b0d579,208650.14,115,21,96187715
b05d01ec-ab23-4133-aa6a-6420f8333270,316154.22,24,0,88523181
cd045db2-56f9-4c52-9ae4-7d856c89396c,437818.51,81,23,119962273
d4384d3a-b8d8-4ae5-a8ec-fb28841a86bd,329807.72,136,8,119060587
e4d569b9-a923-411d-94b4-50aa8bcbfd66,434098.32,132,0,208801290
b9e12a33-e1e1-4561-bc71-d94c1716c5ce,302706.47,46,0,74465791
073c1155-c6f1-451a-b22d-3508d041dce3,386372.06,25,0,45591903
46b4a4d0-5c47-4da7-a002-e7767af0455f,239540.46,58,82,54375685
97a884d8-9c0b-446d-922a-812553ccb4fd,188570.53,332,15,123513697
eaabf304-6cd7-458d-8285-bdf06cb8ebd5,583083.65,61,0,118365981
